ConditionID,InspectionID,Distance,Counter,PACP_Code,Continuous,Value_1st_Dimension,Value_2nd_Dimension,Value_Percent,Joint,Clock_At_From,Clock_To,Remarks,VCR_Time
1,1,0,10,AMH,,,,0,FALSE,,,SANMH200181,
2,1,0,63,MWL,,,,5,FALSE,,,,
3,1,0,71,SAV,S01,,,0,FALSE,12,12,,
4,1,11.10000038,118,JOL,,,,0,FALSE,,,,
5,1,15.10000038,160,SAV,F01,,,0,FALSE,12,12,,
6,1,16.5,221,AMH,,,,0,FALSE,,,SANMH200182,
7,2,0,5,AMH,,,,0,FALSE,,,SANMH200226,
8,2,0,43,MWL,,,,5,FALSE,,,,
9,2,0,54,MGO,,,,0,FALSE,,,grease in manhole,
10,2,0,63,MWL,,,,5,FALSE,,,,
11,2,0.100000001,88,DAGS,S01,,,15,FALSE,9,3,wanders,
12,2,37.90000153,274,DAGS,F01,,,15,FALSE,9,3,wanders,
13,2,37.90000153,284,MGO,,,,0,FALSE,,,connection in manhole,
14,2,37.90000153,310,MGO,,,,0,FALSE,,,grease in manhole,
15,2,37.90000153,323,AMH,,,,0,FALSE,,,SANMH200227,
16,3,0,7,AMH,,,,0,FALSE,,,SANMH400292,
17,3,0,19,MWL,,,,75,FALSE,,,,
18,3,0,54,MGO,,,,0,FALSE,,,unable to de-water for inspection due to blowback in residence,
19,3,0,72,MSA,,,,0,FALSE,,,inspection incomplete,
20,4,0,10,AMH,,,,0,FALSE,,,SANMH200159,
21,4,0,48,MWL,,,,25,FALSE,,,,
22,4,1,84,DAGS,S01,,,5,FALSE,10,1,wanders,
23,4,11.10000038,151,TF,,6,,0,FALSE,12,,,
24,4,54.79999924,360,TF,,6,,0,FALSE,12,,,
25,4,57.29999924,382,DAGS,F01,,,5,FALSE,10,1,wanders,
26,4,57.29999924,398,DAE,,,,5,TRUE,9,3,,
27,4,76.5,464,TF,,6,,0,FALSE,12,,,
28,4,77.09999847,502,DAGS,S02,,,5,FALSE,11,2,wanders,
29,4,121.9000015,715,DAGS,F02,,,5,FALSE,11,2,wanders,
30,4,129.5,760,DAGS,,,,5,FALSE,1,,,
31,4,135.1000061,801,TFD,,6,,0,FALSE,12,,grease in connection,
32,4,141.3999939,856,MGO,,,,0,FALSE,,,de watering using vac,
33,4,141.3999939,863,AMH,,,,0,FALSE,,,SANMH200160,
34,5,0,6,AMH,,,,0,FALSE,,,SANMH200421,
35,5,0,27,MWL,,,,5,FALSE,,,,
36,5,0,43,MGO,,,,0,FALSE,,,connection in manhole,
37,5,0,71,MWL,,,,5,FALSE,,,,
38,5,9.600000381,117,IR,,,,0,TRUE,4,,,
39,5,12.80000019,176,DAGS,,,,5,TRUE,7,5,,
40,5,24.60000038,231,IR,,,,0,TRUE,4,,,
41,5,27.60000038,292,DAE,S01,,,5,FALSE,8,5,wanders,
42,5,88.90000153,570,DSF,,,,5,TRUE,7,,,
43,5,93.59999847,638,IR,,,,0,TRUE,2,,,
44,5,101,702,DSF,,,,5,TRUE,7,,,
45,5,111.5,788,IR,,,,0,TRUE,2,,,
46,5,122.6999969,842,DAE,F01,,,5,FALSE,8,5,wanders,
47,5,125.6999969,886,MGO,,,,0,FALSE,,,connection in manhole,
48,5,125.6999969,898,MGO,,,,0,FALSE,,,connection in manhole,
49,5,125.6999969,917,MGO,,,,0,FALSE,,,roots in manhole,
50,5,125.6999969,930,AMH,,,,0,FALSE,,,SANMH200713,
51,6,0,11,AMH,,,,0,FALSE,,,SANMH200713,
52,6,0,31,MWL,,,,5,FALSE,,,,
53,6,0,65,MGO,,,,0,FALSE,,,connection in manhole,
54,6,0,77,MGO,,,,0,FALSE,,,connection in manhole,
55,6,0,91,MGO,,,,0,FALSE,,,roots in manhole,
56,6,9.600000381,196,DSF,,,,5,TRUE,7,,,
57,6,13.69999981,271,DAE,S01,,,5,FALSE,7,5,wanders,
58,6,21.10000038,377,FM,,,,0,TRUE,12,8,,
59,6,37.09999847,486,DSF,,,,5,TRUE,7,,,
60,6,75.5,783,FL,,,,0,TRUE,1,,,
61,6,75.5,838,B,,,,0,TRUE,7,8,,
62,6,77.59999847,890,TBA,,6,,0,FALSE,12,,,
63,6,112.8000031,1106,DSF,,,,5,TRUE,7,,,
64,6,168.1999969,1369,IR,,,,0,TRUE,3,,,
65,6,195.1999969,1560,DSF,,,,5,TRUE,7,,,
66,6,236.6000061,1765,DAE,F01,,,5,FALSE,7,5,wanders,
67,6,240.6000061,1820,MGO,,,,0,FALSE,,,connection in manhole,
68,6,240.6000061,1831,MGO,,,,0,FALSE,,,connection in manhole,
69,6,240.6000061,1845,AMH,,,,0,FALSE,,,SANMH200560,
70,7,0,7,AMH,,,,0,FALSE,,,SANMH200577,
71,7,0,32,MWL,,,,5,FALSE,,,,
72,7,244.5,986,AMH,,,,0,FALSE,,,SANMH200578,
73,8,0,5,AMH,,,,0,FALSE,,,SANMH200577,
74,8,0,32,MWL,,,,5,FALSE,,,,
75,8,113.1999969,562,TFC,,12,,0,FALSE,12,,,
76,8,116.0999985,655,MGO,,,,0,FALSE,,,outside drop,
77,8,116.0999985,677,MGO,,,,0,FALSE,,,unable pass outside drop,
78,8,116.0999985,721,MSA,,,,0,FALSE,,,reverse setup requied,
79,9,0,7,AMH,,,,0,FALSE,,,SANMH200574,
80,9,0,29,MWL,,,,5,FALSE,,,,
81,9,0,36,MGO,,,,0,FALSE,,,connection in manhole,
82,9,0,50,MWL,,,,5,FALSE,,,,
