ConditionID,InspectionID,Distance,Counter,PACP_Code,Continuous,Value_1st_Dimension,Value_2nd_Dimension,Value_Percent,Joint,Clock_At_From,Clock_To,Remarks,VCR_Time
1,1,0,0,AMH,,,,,FALSE,,,6-463A,
2,1,0,0,MWL,,,,5,FALSE,,,,
3,1,35.09999847,290,RFJ,,,,,TRUE,8,,roots in joint,
4,1,43.5,373,AMH,,,,,FALSE,,,6-463B,
5,2,0,0,AMH,,,,,FALSE,,,1-025,
6,2,0,0,MWL,,,,5,FALSE,,,,
7,2,117.1999969,348,TBA,,6,,,FALSE,3,,active service with roots in first and second joint,
8,2,118.3000031,468,BVV,,,,,TRUE,1,5,pipe broken with visible void and roots,
9,2,137.8000031,584,ISSR,,,,5,FALSE,8,11,protruding gasket,
10,2,144.8999939,709,AMH,,,,,FALSE,,,850-53,
11,3,0,0,AMH,,,,,FALSE,,,1-025,
12,3,0,0,MWL,,,,5,FALSE,,,,
13,3,128.3000031,312,AMH,,,,,FALSE,,,1-026,
14,4,0,0,AMH,,,,,FALSE,,,1-026L,
15,4,0,0,MWL,,,,5,FALSE,,,,
16,4,9,166,TFA,,6,,,FALSE,9,,active service,
17,4,42.40000153,324,TFA,,6,,,FALSE,3,,active service,
18,4,76.09999847,404,AMH,,,,,FALSE,,,1-026M,
19,5,0,0,AMH,,,,,FALSE,,,1-026K,
20,5,0,0,MWL,,,,5,FALSE,,,,
21,5,6,37,TFA,,6,,,FALSE,9,,active service,
22,5,8.199999809,81,TFA,,6,,,FALSE,3,,active service,
23,5,88.5,335,TFA,,6,,,FALSE,3,,active service,
24,5,122.5,453,AMH,,,,,FALSE,,,1-026L,
25,6,0,0,AMH,,,,,FALSE,,,1-026M,
26,6,0,0,MWL,,,,5,FALSE,,,,
27,6,8.800000191,31,TFA,,6,,,FALSE,9,,active service,
28,6,35.5,111,TFA,,6,,,FALSE,3,,active service,
29,6,75.80000305,187,TFA,,6,,,FALSE,3,,active service,
30,6,90.69999695,242,AMH,,,,,FALSE,,,1-026N,
31,7,0,0,AMH,,,,,FALSE,,,1-026N,
32,7,0,0,MWL,,,,5,FALSE,,,,
33,7,24.20000076,45,TFA,,6,,,FALSE,3,,active service,
34,7,31.5,79,TFA,,6,,,FALSE,9,,active service,
35,7,78.09999847,168,TFA,,6,,,FALSE,3,,active service,
36,7,131.1000061,267,TFA,,6,,,FALSE,3,,active service,
