,Additional_Info,Certificate_Number,City,Coordinate_System,Customer,Date,Date_Cleaned,Direction,Down_Grade_to_Invert,Down_Rim_to_Grade,Down_Rim_to_Invert,Downstream_MH,Drainage_Area,Easting,Elevation,Flow_Control,GPS_Accuracy,Height,InspectionID,IsImperial,Length_Surveyed,Lining_Method,Location_Code,Location_Details,Material,Media_Label,Northing,Owner,PO_Number,PacpQuickMaintRating,PacpQuickMaintRatingNum,PacpQuickOverallRating,PacpQuickOverallRatingNum,PacpQuickStructRating,PacpQuickStructRatingNum,Pipe_Joint_Length,Pipe_Segment_Reference,Pre-Cleaning,PressureValue,Project,Purpose,Reverse_Setup,Sewer_Category,Sewer_Use,Shape,Sheet_Number,Street,Surveyed_By,Time,Total_Length,Up_Grade_to_Invert,Up_Rim_to_Grade,Up_Rim_to_Invert,Upstream_MH,Weather,Width,WorkOrder,Year_Laid,Year_Renewed
0,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,20.3999996185303,SANMH200182,,,,Not Controlled,,15.0,1.0,True,16.5,,Light Highway,paved asphalt,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS2001810,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,135 Mound Ave.,MDC,08:50:00,16.5,,,13.1000003814697,SANMH200181,Dry,15.0,,,
1,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,12.1000003814697,SANMH200227,,,,De-Watered using Jetter,,8.0,2.0,True,37.9000015258789,,Light Highway,paved asphalt,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,3.0,SANGS2002260,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,79 S Main St.,MDC,09:13:00,37.9000015258789,,,11.5,SANMH200226,Dry,8.0,,,
2,Unable to clean for inspection due to blowback in residence. Flow too high for inspection.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,8.89999961853027,SANMH400293,,,,Not Controlled,,8.0,3.0,True,0.0,,Light Highway,Middle of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,3.0,SANGS4002920,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,632 E Maple St.,MDC,09:54:00,232.0,,,9.39999961853027,SANMH400292,Dry,8.0,,,
3,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,14.8000001907349,SANMH200160,,,,Plugged,,8.0,4.0,True,141.399993896484,,Light Highway,Middle of road,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,3.0,SANGS2001590,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,804 E Linden Ave.,MDC,10:21:00,141.399993896484,,,15.6999998092651,SANMH200159,Dry,8.0,,,
4,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,14.6999998092651,SANMH200713,,,,Not Controlled,,18.0,5.0,True,125.699996948242,,Light Highway,center of street to car lot,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS2004210,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,14 Hoover Ave.,MDC,11:57:00,125.699996948242,,,14.1999998092651,SANMH200421,Dry,18.0,,,
5,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,15.8999996185303,SANMH200560,,,,Not Controlled,,18.0,6.0,True,240.600006103516,,Parking Lot,back lot to car lot,Vitrified Clay Pipe,,,City of Miamisburg,1696.0,,,,,,,3.0,SANGS2007130,Jetting,,1696_Miamisbrug_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,711 S Main St.,MDC,12:20:00,240.600006103516,,,14.6999998092651,SANMH200713,Dry,18.0,,,
6,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Upstream,,,11.5,SANMH200577,,,,Not Controlled,,12.0,7.0,True,244.5,,Easement/Right of Way,Grass area between road and walking track,Polyvinyl Chloride,,,City of Miamisburg,1696.0,,,,,,,13.0,SANGS2005780,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,1115 S Main St.,MDC,13:42:00,244.5,,,10.6999998092651,SANMH200578,Dry,12.0,,,
7,Reverse setup required.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,16.3999996185303,SANMH200574,,,,Not Controlled,,12.0,8.0,True,116.099998474121,,Easement/Right of Way,grass by walking track to edge of road,Polyvinyl Chloride,,,City of Miamisburg,1696.0,,,,,,,13.0,SANGS2005770,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,1115 S Main St.,MDC,14:07:00,118.099998474121,,,11.5,SANMH200577,Dry,12.0,,,
8,Reverse setup complete.,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Upstream,,,16.3999996185303,SANMH200574,,,,Not Controlled,,12.0,9.0,True,2.0,,Easement/Right of Way,grass by walking track to edge of road,Polyvinyl Chloride,,,City of Miamisburg,1696.0,,,,,,,13.0,SANGS2005770,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,1115 S Main St.,MDC,14:31:00,118.099998474121,,,11.5,SANMH200577,Dry,12.0,,,
9,,U-715_07000628,Miamisburg OH,,Hazen & Sawyer,2016-03-23,2016-03-23,Downstream,,,11.5,SANMH400331,,,,Not Controlled,,24.0,10.0,True,190.300003051758,,Easement/Right of Way,in grass by ballfeild to center of street,Reinforced Concrete Pipe,,,City of Miamisburg,1696.0,,,,,,,5.0,SANGS4004580,Jetting,,1696_Miamisburg_OH,Capital Improvement Program Assessment,0.0,,Sanitary,Circular,1.0,417 N 9th St.,MDC,15:30:00,190.300003051758,,,10.8999996185303,SANMH400458,Dry,24.0,,,
